Bulan,Puskesmas,Total Kasus ISPA
Januari,tambakaji,533
Februari,tambakaji,440
Maret,tambakaji,423
April,tambakaji,360
Mei,tambakaji,279
Juni,tambakaji,544
Juli,tambakaji,709
Agustus,tambakaji,501
September,tambakaji,805
Oktober,tambakaji,801
November,tambakaji,911
Desember,tambakaji,573
Januari,tlogosarikulon,1501
Februari,tlogosarikulon,1240
Maret,tlogosarikulon,1328
April,tlogosarikulon,890
Mei,tlogosarikulon,942
Juni,tlogosarikulon,890
Juli,tlogosarikulon,1016
Agustus,tlogosarikulon,1366
September,tlogosarikulon,1194
Oktober,tlogosarikulon,1208
November,tlogosarikulon,948
Desember,tlogosarikulon,1164
Januari,tlogosariwetan,1226
Februari,tlogosariwetan,1199
Maret,tlogosariwetan,1281
April,tlogosariwetan,1153
Mei,tlogosariwetan,1104
Juni,tlogosariwetan,1021
Juli,tlogosariwetan,1201
Agustus,tlogosariwetan,1342
September,tlogosariwetan,1880
Oktober,tlogosariwetan,1623
November,tlogosariwetan,1725
Desember,tlogosariwetan,1557
