kecamatan_id,kecamatan_nama,month_start,disease,cases
33.74.12,Banyumanik,2025-03-01,ISPA,2073
33.74.12,Banyumanik,2025-04-01,ISPA,2201
33.74.12,Banyumanik,2025-05-01,ISPA,1730
33.74.12,Banyumanik,2025-06-01,ISPA,1991
33.74.12,Banyumanik,2025-07-01,ISPA,2759
33.74.12,Banyumanik,2025-08-01,ISPA,3089
33.74.12,Banyumanik,2025-09-01,ISPA,3427
33.74.12,Banyumanik,2025-10-01,ISPA,3112
33.74.12,Banyumanik,2025-11-01,ISPA,3681
33.74.12,Banyumanik,2025-12-01,ISPA,3063
33.74.13,Gunungpati,2025-01-01,ISPA,898
33.74.13,Gunungpati,2025-02-01,ISPA,937
33.74.13,Gunungpati,2025-03-01,ISPA,879
33.74.13,Gunungpati,2025-04-01,ISPA,669
33.74.13,Gunungpati,2025-05-01,ISPA,837
33.74.13,Gunungpati,2025-06-01,ISPA,698
33.74.13,Gunungpati,2025-07-01,ISPA,1003
33.74.13,Gunungpati,2025-08-01,ISPA,943
33.74.13,Gunungpati,2025-09-01,ISPA,1489
33.74.13,Gunungpati,2025-10-01,ISPA,1064
33.74.13,Gunungpati,2025-11-01,ISPA,1214
33.74.13,Gunungpati,2025-12-01,ISPA,1082
33.74.14,Mijen,2025-01-01,ISPA,1777
33.74.14,Mijen,2025-02-01,ISPA,1629
33.74.14,Mijen,2025-03-01,ISPA,1437
33.74.14,Mijen,2025-04-01,ISPA,1374
33.74.14,Mijen,2025-05-01,ISPA,1424
33.74.14,Mijen,2025-06-01,ISPA,1645
33.74.14,Mijen,2025-07-01,ISPA,1957
33.74.14,Mijen,2025-08-01,ISPA,2183
33.74.14,Mijen,2025-09-01,ISPA,2148
33.74.14,Mijen,2025-10-01,ISPA,1869
33.74.14,Mijen,2025-11-01,ISPA,2053
33.74.14,Mijen,2025-12-01,ISPA,1668
33.74.15,Ngaliyan,2025-01-01,ISPA,1512
33.74.15,Ngaliyan,2025-02-01,ISPA,1823
33.74.15,Ngaliyan,2025-03-01,ISPA,1653
33.74.15,Ngaliyan,2025-04-01,ISPA,1840
33.74.15,Ngaliyan,2025-05-01,ISPA,1491
33.74.15,Ngaliyan,2025-06-01,ISPA,2762
