kecamatan_id,kecamatan_nama,month_start,rainfall_mm,temp_mean_c,humidity_pct
33.74.05,Semarang Barat,2023-04-01,178.0,26.9,83.3
33.74.05,Semarang Barat,2023-05-01,66.1,27.9,74.2
33.74.05,Semarang Barat,2023-06-01,47.5,28.4,70.4
33.74.05,Semarang Barat,2023-07-01,18.5,28.3,63.5
33.74.05,Semarang Barat,2023-08-01,1.8,28.5,60.9
33.74.05,Semarang Barat,2023-09-01,14.0,29.0,56.9
33.74.05,Semarang Barat,2023-10-01,25.3,29.8,62.8
33.74.05,Semarang Barat,2023-11-01,110.9,28.5,77.4
33.74.05,Semarang Barat,2023-12-01,111.1,28.1,77.6
33.74.05,Semarang Barat,2024-01-01,274.1,27.0,86.0
33.74.05,Semarang Barat,2024-02-01,247.6,27.2,85.5
33.74.05,Semarang Barat,2024-03-01,217.4,27.4,83.7
33.74.05,Semarang Barat,2024-04-01,194.5,28.0,82.9
33.74.05,Semarang Barat,2024-05-01,29.3,29.9,66.4
33.74.05,Semarang Barat,2024-06-01,69.8,28.6,71.6
33.74.05,Semarang Barat,2024-07-01,36.5,28.3,65.0
33.74.05,Semarang Barat,2024-08-01,14.0,28.7,61.9
33.74.05,Semarang Barat,2024-09-01,79.3,28.7,66.3
33.74.05,Semarang Barat,2024-10-01,59.0,29.5,65.6
33.74.05,Semarang Barat,2024-11-01,287.1,27.9,81.5
33.74.05,Semarang Barat,2024-12-01,302.6,27.0,86.6
33.74.05,Semarang Barat,2025-01-01,287.0,26.5,86.4
33.74.05,Semarang Barat,2025-02-01,153.7,26.6,83.9
33.74.05,Semarang Barat,2025-03-01,154.7,27.3,82.9
33.74.05,Semarang Barat,2025-04-01,134.2,27.7,79.4
33.74.05,Semarang Barat,2025-05-01,243.0,27.5,82.1
33.74.05,Semarang Barat,2025-06-01,89.7,28.0,73.1
33.74.05,Semarang Barat,2025-07-01,35.8,28.4,65.2
33.74.05,Semarang Barat,2025-08-01,141.2,28.0,70.4
33.74.05,Semarang Barat,2025-09-01,112.9,28.6,68.8
33.74.05,Semarang Barat,2025-10-01,263.5,28.5,74.2
33.74.05,Semarang Barat,2025-11-01,173.1,27.6,80.1
